Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region
,,$665 Parkside living Highspeed unlimited WiFi PetFriendly,"225/109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$750 per week Parkside living Highspeed unlimited WiFi PetFriendly,"403/109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$950 Parkside living Highspeed unlimited WiFi PetFriendly,"607/109 109 Manningham St,",PARKVILLE VIC 3052,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$670 Parkside living Highspeed unlimited WiFi PetFriendly,"121 109 Manningham St,",PARKVILLE VIC 3052,1 Bed,1 Bath,1 Parking,,shepparton-vic
$595 - $596 per week,,$595 - $596 per week,"33 Currong Street,",REID ACT 2612,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,Contact Us For Pricing,"60 Poplar Avenue,",SHEPPARTON VIC 3630,1 Bed,1 Bath,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$490,"64 Paterson Road,",SHEPPARTON VIC 3630,3 Beds,1 Bath,2 Parking,734m²,shepparton-vic
,,$460.00 per week,"31 Monash Street,",SHEPPARTON VIC 3630,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$345 per week,"1/16 Marungi St,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$510 per week,"207/6 Leicester Street,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$450 per week,"Unit 1113/6 Leicester St,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$400 pw,"3/101 Corio Street,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$725 per week,"3/462 Como Parade West,",MORDIALLOC VIC 3195,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$250 per week,,WILLIAMSTOWN VIC 3016,6 Beds,3 Baths,− Parking,,shepparton-vic
,,$440 per week,"5 Apsley Court,",SHEPPARTON VIC 3630,3 Beds,1 Bath,3 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,Fully Furnished $725.00 Per Week Vacant- $650.00,"57 Maude St,",SHEPPARTON VIC 3630,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$700.00,"505/300 Swanston Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$670 per week,"30 Healey Drive,",EPPING VIC 3076,5 Beds,2 Baths,8 Parking,500m²,shepparton-vic
,,$950 Per Week,"7/398 Elgar Road,",BOX HILL VIC 3128,4 Beds,4 Baths,1 Parking,,shepparton-vic
,,$600,"204/150 Great Eastern Highway,",ASCOT WA 6104,1 Bed,1 Bath,1 Parking,,shepparton-vic
,,$650 Per Week,"7/2-8 Palmerston Street,",ST JAMES WA 6102,3 Beds,1 Bath,1 Parking,,shepparton-vic
,,$520 p/w,"03/13 Coomboona Street,",SHEPPARTON VIC 3630,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$700 weekly,"3 Timor Cl,",BURWOOD VIC 3125,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$780 per week,"5/48 Oxley Rd,",HAWTHORN VIC 3122,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$355 per week,"239/386 Burwood Highway,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$850 weekly,"2004/103 South Wharf Drive,",DOCKLANDS VIC 3008,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$350,"68 Gilchrist,",SHEPPARTON VIC 3630,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$400 weekly,"3/15 Tallis Street,",NORLANE VIC 3214,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$500.00,"2/42 Raleigh Road,",MARIBYRNONG VIC 3032,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$400 p/w,"14 Hawking Court,",MOOROOPNA VIC 3629,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$500 pw,"51 Carson Street,",SHEPPARTON VIC 3630,4 Beds,1 Bath,1 Parking,,shepparton-vic
,,$550,"21 Fifth Avenue,",ALTONA NORTH VIC 3025,3 Beds,1 Bath,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$500 Per Week,"Unit 9/17 Buckworth St,",KIALLA VIC 3631,2 Beds,1 Bath,− Parking,,shepparton-vic
,,$420 per week,"6 Alamein Street,",SHEPPARTON VIC 3630,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$560.00,"805/408 Spencer Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$600.00 per week,"Unit 2/102 Graham St,",SHEPPARTON VIC 3630,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$750.00 per week,,MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,shepparton-vic
,,$430.00,"1406/557-561 Little Lonsdale Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$345 per week,"117/386 Burwood Highway,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$590 per week,"32 Golconda Avenue,",FRANKSTON VIC 3199,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$420.00 per week,"Unit 2/26 Lister Cres,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$380 per week,"6/406 Lower Heidelberg Road,",EAGLEMONT VIC 3084,1 Bed,1 Bath,1 Parking,100m²,shepparton-vic
,,$700.00,"35/174 Peel Street,",WINDSOR VIC 3181,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$590 per week,"8 Tynong Street,",CROYDON VIC 3136,3 Beds,1 Bath,1 Parking,877m²,shepparton-vic
,,$500,"4 Waugh Street,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$995,"122A Sussex Street,",EAST VICTORIA PARK WA 6101,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$650.00 Per Week,"9 Kinchega Dr,",SHEPPARTON NORTH VIC 3631,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$500 per week,"1/59 Maude Street,",SHEPPARTON VIC 3630,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$420 per week,"1/16 Beckham Street,",SHEPPARTON VIC 3630,3 Beds,1 Bath,1 Parking,,shepparton-vic
,,$480,"8 Chorley Street,",STRATHTULLOH VIC 3338,4 Beds,2 Baths,1 Parking,,shepparton-vic
,,$510 per week,"7 Waler Street,",AINTREE VIC 3336,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$450,"56 Paterson,",SHEPPARTON VIC 3630,3 Beds,1 Bath,− Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$400 pw,"1/18 Beckham Street,",SHEPPARTON VIC 3630,3 Beds,1 Bath,1 Parking,,shepparton-vic
,,$370 p/w,"7 Taylor Street,",RUSHWORTH VIC 3612,2 Beds,1 Bath,2 Parking,,shepparton-vic
,,$750 per week,"178 Nicholson St,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,1 Parking,247m²,shepparton-vic
,,,,,,,,,shepparton-vic
,,$680 per week,"10/8 Riversdale Road,",BURSWOOD WA 6100,1 Bed,1 Bath,1 Parking,,shepparton-vic
,,$600,"39 Kinchega Drive,",SHEPPARTON VIC 3630,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$440,"1/40 Harold Street,",SHEPPARTON VIC 3630,2 Beds,1 Bath,2 Parking,,shepparton-vic
,,$450 weekly,"601/150 Dudley St,",WEST MELBOURNE VIC 3003,− 0 Beds,1 Bath,1 Parking,,shepparton-vic
,,$340,"2/70 Wyndham,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$360,"1/36 Brauman Street,",SHEPPARTON VIC 3630,2 Beds,1 Bath,− Parking,,shepparton-vic
,,$450 per week,"58 Broadway,",ELWOOD VIC 3184,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$650 per week,"512/668 Swanston Street,",CARLTON VIC 3053,1 Bed,1 Bath,1 Parking,,shepparton-vic
,,$350 p/w,"59 Longstaff Street,",SHEPPARTON VIC 3630,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$650 Per Week,"4 Crawley Court,",VIEWBANK VIC 3084,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$490 per week,"37 Sunset Boulevard,",JACANA VIC 3047,3 Beds,1 Bath,− Parking,639m²,shepparton-vic
,,,,,,,,,shepparton-vic
,,$750,"77 Hemingway Drive,",ROCKBANK VIC 3335,5 Beds,5 Baths,2 Parking,,shepparton-vic
,,$640 PER WEEK,"2 Wigan Close,",WOLLERT VIC 3750,4 Beds,2 Baths,4 Parking,,shepparton-vic
,,$595.00 Per week,"68 Norton Dr,",MOOROOPNA VIC 3629,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$590 weekly,"107/19 Irving Ave,",BOX HILL VIC 3128,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$520 p/w,"49 Windlass Avenue,",MOOROOPNA VIC 3629,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$330 pw,"3/30 Alexandra Street,",MOOROOPNA VIC 3629,1 Bed,1 Bath,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,Under Application - Deposit Taken,"1301/557 Little Lonsdale St,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$580 weekly,"5/59 Tooronga Rd,",MALVERN EAST VIC 3145,2 Beds,1 Bath,1 Parking,"1,091m²",shepparton-vic
,,$520,"106/501-503 Plenty Road,",PRESTON VIC 3072,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$580,"15/163 Hubert Street,",EAST VICTORIA PARK WA 6101,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$380.00 Per Week,"33 Isabella St,",SHEPPARTON VIC 3630,3 Beds,1 Bath,− Parking,,shepparton-vic
,,$550,"4 Henderson Drive,",TARNEIT VIC 3029,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$450 pw,"1/47 Knight Street,",SHEPPARTON VIC 3630,2 Beds,1 Bath,2 Parking,,shepparton-vic
,,"$580.00 per week $2,520.00 per month",".20 Kosa Avenue,",SUNSHINE WEST VIC 3020,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$800 per week,"70 Cobram Drive,",EYNESBURY VIC 3338,5 Beds,3 Baths,2 Parking,,shepparton-vic
,,$465 per week,"1/381 Middleborough Road,",BOX HILL VIC 3128,2 Beds,1 Bath,− Parking,,shepparton-vic
,,$400.00 Per Week,"Unit 3/103 Corio St,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$400.00 Per Week,"Unit 2/11 Verney Rd,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$460,"1610/6 Leicester Street,",CARLTON VIC 3053,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$490 p/w,"2/52 Mason Street,",SHEPPARTON VIC 3630,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,"$1,075 weekly","42 Fairview Rd,",MOUNT WAVERLEY VIC 3149,5 Beds,2 Baths,2 Parking,,shepparton-vic
,,$580pw /$2520pcm,"20 Bent Street,",BUNDOORA VIC 3083,4 Beds,1 Bath,1 Parking,,shepparton-vic
,,$975 per week,"506/1 Dank Street West,",PORT MELBOURNE VIC 3207,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$650 weekly,"79 Ardmillan Rd,",MOONEE PONDS VIC 3039,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,Under Application - Deposit Taken,"1302/557 Little Lonsdale St,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,shepparton-vic
,,Under Application,"133 Nelson Rd,",BOX HILL NORTH VIC 3129,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$650 PW,"11 Bangalay Place,",POINT COOK VIC 3030,4 Beds,2 Baths,2 Parking,572m²,shepparton-vic
,,$530 per week,"701/6 Leicester Street,",CARLTON VIC 3053,2 Beds,1 Bath,− Parking,,shepparton-vic
,,$400,"2/6 Bowe Street,",SHEPPARTON VIC 3630,2 Beds,1 Bath,2 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$500,"9 Kerala Street,",ROCKBANK VIC 3335,4 Beds,2 Baths,1 Parking,,shepparton-vic
,,$480 per week,"817 18-28 Albert Street,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,"$3,500 per week","28 Janelle Way,",OCEAN GROVE VIC 3226,3 Beds,2 Baths,4 Parking,600m²,shepparton-vic
,,$510,"46 Bluebottle Parade,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$330.00 Per Week,"60 Newton St,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$335 per week,"235/386 Burwood Highway,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$570 per week,"2508/31 A'Beckett St,",MELBOURNE VIC 3000,1 Bed,1 Bath,1 Parking,,shepparton-vic
,,$550,"15 Westbury Ave,",ROCKBANK VIC 3335,5 Beds,2 Baths,2 Parking,512m²,shepparton-vic
,,$565.00 Per Week,"74 Norton Dr,",MOOROOPNA VIC 3629,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,Under Application - Deposit Taken,"702/845-851 Whitehorse Rd,",BOX HILL VIC 3128,3 Beds,2 Baths,1 Parking,,shepparton-vic
,,$750 - Large Warehouse-Style Apartment!,"35/1 Flagstaff Lane,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$560 weekly,"1006/545 Station St,",BOX HILL VIC 3128,1 Bed,1 Bath,1 Parking,,shepparton-vic
,,$590,"53 Chivalry Drive,",MOOROOPNA VIC 3629,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$480,"16 Zoe Street,",ROCKBANK VIC 3335,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$590 per week,"409/2 Hallenstein Street,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$510 per week,"1 Blande Court,",LARA VIC 3212,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,Contact Agent,"44/145 Canterbury Road,",TOORAK VIC 3142,1 Bed,1 Bath,− Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$800.00,"1806/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$450,"20 GRAPPENHALL AVENUE,",STRATHTULLOH VIC 3338,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$650 weekly,"606/12-14 Nelson Rd,",BOX HILL VIC 3128,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,335 per week,"130/386 Burwood Highway,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$470 pw,"18 Hare Street,",SHEPPARTON VIC 3630,3 Beds,1 Bath,1 Parking,,shepparton-vic
,,$600 per week,,LALOR VIC 3075,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$595 per week,"32 Victoria,",PRESTON VIC 3072,2 Beds,1 Bath,2 Parking,165m²,shepparton-vic
,,$550 weekly,"1 Lexton Rd,",BOX HILL NORTH VIC 3129,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$275.00 per week,"12 Oram St,",SHEPPARTON VIC 3630,2 Beds,1 Bath,− Parking,,shepparton-vic
,,$380 pw,"2/54 Hawdon Street,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$395 per week,"17/92 Grey St,",ST KILDA VIC 3182,− 0 Beds,1 Bath,− Parking,30m²,shepparton-vic
,,$600 pw,"25 Callanish Street,",TRUGANINA VIC 3029,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$530 weekly,"8 Wattle St,",BOX HILL NORTH VIC 3129,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$325 per week,,PARK ORCHARDS VIC 3114,6 Beds,3 Baths,3 Parking,"4,298m²",shepparton-vic
,,,,,,,,,shepparton-vic
,,"$1,950 per week","112 Harold St,",MIDDLE PARK VIC 3206,4 Beds,3 Baths,2 Parking,,shepparton-vic
,,"$1,150 weekly","280A Tucker Rd,",ORMOND VIC 3204,4 Beds,3 Baths,2 Parking,,shepparton-vic
,,$450.00 Per Week,"20 Knight St,",SHEPPARTON VIC 3630,3 Beds,2 Baths,1 Parking,,shepparton-vic
,,$525.00,"206 Gatehouse Place,",MARIBYRNONG VIC 3032,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$630 per week,"2712/500 Elizabeth Street,",MELBOURNE VIC 3000,2 Beds,1 Bath,− Parking,,shepparton-vic
,,$750 per week,,MOUNT WAVERLEY VIC 3149,3 Beds,3 Baths,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$365 per week,"3/21 Mason St,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$620 pw,"15 Leeward Drive,",TARNEIT VIC 3029,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$585,"72 Maude Street,",SHEPPARTON VIC 3630,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$580 PER WEEK,"7 Lauradan Way,",WOLLERT VIC 3750,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$510 pw,"41 Holman Crescent,",BACCHUS MARSH VIC 3340,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$270 P/W,"2/16 Maple Street,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$365 per week,"5 Langi Street,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$245.00 per week,"Unit 1/5 Mcmillan Ct,",SHEPPARTON VIC 3630,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$525,"G11/110 Roberts Street,",WEST FOOTSCRAY VIC 3012,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$550 per week,"11 Carina Court,",POINT COOK VIC 3030,4 Beds,2 Baths,− Parking,,shepparton-vic
,,$210 weekly,"1/133 Raleigh Road,",MARIBYRNONG VIC 3032,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$450,"145 Ashenden Street,",SHEPPARTON VIC 3630,3 Beds,1 Bath,1 Parking,,shepparton-vic
,,$445 per week,"7/1 Fiona Court,",ST KILDA VIC 3182,1 Bed,1 Bath,1 Parking,,shepparton-vic
,,$800 per week,"1/5 Jaguar Dr,",CLAYTON VIC 3168,4 Beds,3 Baths,2 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$650 per week Unfurnished,"1 Tuckett Street,",ALPHINGTON VIC 3078,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$670 per week,"205/8 Sutherland Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,shepparton-vic
,,"$450.00 per Week $1,955.00","39 Shillings Road,",MAMBOURIN VIC 3024,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$500.00 Per Week,"971a Albany Highway,",EAST VICTORIA PARK WA 6101,1 Bed,1 Bath,2 Parking,,shepparton-vic
,,"$1,395 per week","21A Peel St,",KEW VIC 3101,4 Beds,3 Baths,2 Parking,380m²,shepparton-vic
,,$660 p/w,"36 Wendouree Drive,",KIALLA VIC 3631,4 Beds,2 Baths,2 Parking,844m²,shepparton-vic
,,,,,,,,,shepparton-vic
,,"$420 per week $1,825.00","24 Hensbergh Place,",SUNSHINE WEST VIC 3020,1 Bed,1 Bath,1 Parking,,shepparton-vic
,,$620 PER WEEK,"11 Blunsdon Road,",WOLLERT VIC 3750,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$460.00 Per Week,"21 Nivea Street,",MAMBOURIN VIC 3024,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$600,"2 Ranni Place,",BONNIE BROOK VIC 3335,4 Beds,2 Baths,3 Parking,428m²,shepparton-vic
,,$700 weekly,"9 Glenview Rd,",DONCASTER EAST VIC 3109,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$530 per week,"54 SOLITUDE CRESCENT,",POINT COOK VIC 3030,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$740.00,"1307/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,1 Bath,− Parking,,shepparton-vic
,,$780 per week,"2011/371 Little Lonsdale Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,shepparton-vic
,,$800.00,"902/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,− Parking,,shepparton-vic
,,$650 per week,"1102/555 Swanston Street,",CARLTON VIC 3053,2 Beds,2 Baths,− Parking,,shepparton-vic
,,$370.00 Per Week,"Unit 2/14 Weddell St,",SHEPPARTON VIC 3630,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$750.00,"309/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$600,"14B Kinlock Avenue,",FERNDALE WA 6148,3 Beds,1 Bath,3 Parking,,shepparton-vic
,,$620.00 Per Week- Fully Furnished,"18 Macintosh St,",SHEPPARTON VIC 3630,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$520,"22 Driftwood Street,",AINTREE VIC 3336,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,"$1,550 per week","201/1 Wallace Avenue,",TOORAK VIC 3142,2 Beds,2 Baths,2 Parking,,shepparton-vic
,,$500 pw,"9/17 Buckworth Street,",KIALLA VIC 3631,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$500 pw,"4/17 Buckworth Street,",KIALLA VIC 3631,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$550,"G11/110 Roberts Street,",WEST FOOTSCRAY VIC 3012,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$550 per week,"10/949 Albany Highway,",EAST VICTORIA PARK WA 6101,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$585 per week,"10/135 Fitzroy Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,,shepparton-vic
,,$480 p/w,"1 Breage Court,",SHEPPARTON VIC 3630,4 Beds,1 Bath,2 Parking,,shepparton-vic
,,$650.00,"1707/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,1 Bath,− Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$640 per week,"20 Teak Street,",CAULFIELD VIC 3162,3 Beds,1 Bath,− Parking,318m²,shepparton-vic
,,$900.00,"1903/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$530 pw,"6 Carson Street,",SHEPPARTON VIC 3630,3 Beds,1 Bath,1 Parking,,shepparton-vic
,,$575.00 Per Week,"3 Winolite Ct,",MOOROOPNA VIC 3629,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$530,"28 Carson Street,",SHEPPARTON VIC 3630,3 Beds,1 Bath,1 Parking,,shepparton-vic
,,Contact Agent,,FAWKNER VIC 3060,2 Beds,2 Baths,2 Parking,153m²,shepparton-vic
,,$995 per week,"34 Bird Avenue,",NORTHCOTE VIC 3070,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$660.00,"1104/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,1 Bath,− Parking,,shepparton-vic
,,$780,"2609/545 Station Street,",BOX HILL VIC 3128,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$600 pw,"12 Clay Crescent,",ROCKBANK VIC 3335,5 Beds,3 Baths,2 Parking,,shepparton-vic
,,$790.00,"1002/408 Spencer Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,− Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$600 per week,,COBURG VIC 3058,2 Beds,1 Bath,− Parking,,shepparton-vic
,,$600,"30 Mainview Boulevard,",TRUGANINA VIC 3029,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$570 per week Unfurnished Inc. bill,"2/510 Station Street,",BOX HILL VIC 3128,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$290 per week,"41 Gillard St,",BURWOOD VIC 3125,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$300 p/w,"603 Union Road,",KATANDRA WEST VIC 3634,3 Beds,1 Bath,− Parking,,shepparton-vic
,,$1000 Per Week,"6203/138 Spencer Street,",MELBOURNE VIC 3004,2 Beds,2 Baths,− Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$720 per week,"2206/639 Lonsdale Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,shepparton-vic
,,$440 per week,"230 Gordon St,",FOOTSCRAY VIC 3011,3 Beds,1 Bath,2 Parking,,shepparton-vic
,,$675 p.w,"23 Liege Avenue,",NOBLE PARK VIC 3174,3 Beds,2 Baths,1 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$650 weekly,"1510/828 Whitehorse Rd,",BOX HILL VIC 3128,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$550,"6 Garner Grove,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$510,"19 HARWICH STREET,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$800 weekly,"10 Canara St,",DONCASTER EAST VIC 3109,4 Beds,2 Baths,4 Parking,,shepparton-vic
,,$550,"11 Jobs Road,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$700 weekly,"503/10 Wominjeka Walk,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,shepparton-vic
,,$510,"9 Delhi Grove,",ROCKBANK VIC 3335,4 Beds,2 Baths,1 Parking,,shepparton-vic
,,$720 per week,"4912/33 ROSE Lane,",MELBOURNE VIC 3000,2 Beds,2 Baths,− Parking,,shepparton-vic
,,$550 pw,"74 Kialla Lakes Drive,",KIALLA VIC 3631,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$615 pw,"1 Coopworth Way,",ROCKBANK VIC 3335,4 Beds,3 Baths,2 Parking,,shepparton-vic
,,$680 pw,"76 McKinley Drive,",TRUGANINA VIC 3029,4 Beds,4 Baths,2 Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
,,$520 pw,"28 Tamworth Drive,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,Contact Agent,,FAWKNER VIC 3060,4 Beds,2 Baths,− Parking,220m²,shepparton-vic
,,$480 pw,"42 Sedate Drive,",ROCKBANK VIC 3335,3 Beds,2 Baths,2 Parking,,shepparton-vic
,,$500 pw,"23 Delhi Grove,",ROCKBANK VIC 3335,4 Beds,2 Baths,2 Parking,,shepparton-vic
,,$500 Per Week,"2007/288 Spencer Street,",MELBOURNE VIC 3000,1 Bed,1 Bath,− Parking,,shepparton-vic
,,$640 per week,"1/84 Broadway,",ELWOOD VIC 3184,2 Beds,1 Bath,− Parking,,shepparton-vic
,,,,,,,,,shepparton-vic
